Hours of Sleep,Breakfast,Score on Test,,,,,,,,,,
6,Ate,0,,,,,,,,,,
4,Ate,22,,,,,,,,,,
4,Ate,34,,,,,,,,,,
4,Ate,43,,,,,,,,,,
5,Ate,43,,,,,,,,,,
4,Ate,44,,,,,,,,,,
6,Ate,49,,,,,,,,,,
5,Ate,49,,,,,,,,,,
5,Ate,50,,,,,,,,,,
4,Ate,50,,,,,,,,,,
6,Ate,54,,,,,,,,,,
8,Ate,55,,,,,,,,,,
6,Ate,55,,,,,,,,,,
5,Ate,55,,,,,,,,,,
5,Ate,55,,,,,,,,,,
6,Ate,55,,,,,,,,,,
5,Ate,55,,,,,,,,,,
8,Ate,58,,,,,,,,,,
4,Ate,58,,,,,,,,,,
7,Ate,59,,,,,,,,,,
8,Ate,60,,,,,,,,,,
8,Ate,60,,,,,,,,,,
8,Ate,61,,,,,,,,,,
8,Ate,61,,,,,,,,,,
7,Ate,63,,,,,,,,,,
9,Ate,64,,,,,,,,,,
7,Ate,65,,,,,,,,,,
7,Ate,65,,,,,,,,,,
7,Ate,65,,,,,,,,,,
7,Ate,65,,,,,,,,,,
7,Ate,66,,,,,,,,,,
9,Ate,68,,,,,,,,,,
9,Ate,69,,,,,,,,,,
9,Ate,69,,,,,,,,,,
9,Ate,70,,,,,,,,,,
7,Ate,72,,,,,,,,,,
9,Ate,73,,,,,,,,,,
7,Ate,74,,,,,,,,,,
7,Ate,76,,,,,,,,,,
7,Ate,77,,,,,,,,,,
8,Ate,77,,,,,,,,,,
7,Ate,77,,,,,,,,,,
7,Ate,78,,,,,,,,,,
7,Ate,78,,,,,,,,,,
10,Ate,78,,,,,,,,,,
7,Ate,79,,,,,,,,,,
8,Ate,79,,,,,,,,,,
8,Ate,79,,,,,,,,,,
8,Ate,80,,,,,,,,,,
9,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
8,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
8,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
10,Ate,80,,,,,,,,,,
9,Ate,80,,,,,,,,,,
9,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
8,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
9,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
8,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
7,Ate,80,,,,,,,,,,
8,Ate,80,,,,,,,,,,
9,Ate,81,,,,,,,,,,
7,Ate,82,,,,,,,,,,
9,Ate,82,,,,,,,,,,
7,Ate,83,,,,,,,,,,
7,Ate,83,,,,,,,,,,
8,Ate,83,,,,,,,,,,
7,Ate,84,,,,,,,,,,
8,Ate,85,,,,,,,,,,
8,Ate,85,,,,,,,,,,
8,Ate,85,,,,,,,,,,
7,Ate,85,,,,,,,,,,
7,Ate,87,,,,,,,,,,
8,Ate,87,,,,,,,,,,
7,Ate,88,,,,,,,,,,
7,Ate,88,,,,,,,,,,
7,Ate,89,,,,,,,,,,
9,Ate,89,,,,,,,,,,
7,Ate,90,,,,,,,,,,
9,Ate,90,,,,,,,,,,
8,Ate,90,,,,,,,,,,
9,Ate,92,,,,,,,,,,
7,Ate,92,,,,,,,,,,
8,Ate,95,,,,,,,,,,
8,Ate,98,,,,,,,,,,
7,Ate,99,,,,,,,,,,
7,Ate,100,,,,,,,,,,
7,Ate,100,,,,,,,,,,
7,Ate,100,,,,,,,,,,
8,Ate,100,,,,,,,,,,
7,Ate,100,,,,,,,,,,
9,Skipped ,64,,,,,,,,,,
8,Skipped ,65,,,,,,,,,,
9,Skipped ,66,,,,,,,,,,
8,Skipped ,66,,,,,,,,,,
8,Skipped ,70,,,,,,,,,,
7,Skipped ,70,,,,,,,,,,
8,Skipped ,70,,,,,,,,,,
9,Skipped ,75,,,,,,,,,,
8,Skipped ,75,,,,,,,,,,
7,Skipped ,75,,,,,,,,,,
7,Skipped ,77,,,,,,,,,,
9,Skipped ,77,,,,,,,,,,
7,Skipped ,77,,,,,,,,,,
7,Skipped ,78,,,,,,,,,,
7,Skipped ,78,,,,,,,,,,
7,Skipped ,79,,,,,,,,,,
7,Skipped ,80,,,,,,,,,,
